Temps;EA0
14.28;-1.63169340789318
14.301;-1.67171041667461
14.322;-1.69672104716301
14.343;-1.69672104716301
14.364;-1.69171892106533
14.385;-1.66170616447926
14.406;-1.6266912817955
14.427;-1.57667002081871
14.448;-1.51164238154888
14.469;-1.43160836398602
14.49;-1.33156584203243
14.511;-1.21651694178581
14.532;-1.10146804153919
14.553;-0.976414889097214
14.574;-0.846359610557556
14.595;-0.726308584213257
14.616;-0.601255431771278
14.637;-0.481204405426979
14.658;-0.346147000789642
14.679;-0.211089596152306
14.7;-0.0610258132219315
14.721;0.064027339220047
14.742;0.2190932482481
14.763;0.354150652885437
14.784;0.479203805327415
14.805;0.609259083867073
14.826;0.714303731918335
14.847;0.819348379969597
14.868;0.914388775825501
14.889;0.999424919486046
14.91;1.06445255875587
14.931;1.11447381973267
14.952;1.14948870241642
14.973;1.16449508070946
14.994;1.15949295461178
15.015;1.13948445022106
15.036;1.09946744143963
15.057;1.04444405436516
15.078;0.979416415095329
15.099;0.884376019239426
15.12;0.789335623383522
15.141;0.674286723136902
15.162;0.574244201183319
15.183;0.444188922643662
15.204;0.314133644104004
15.225;0.169071987271309
15.246;0.0340145826339722
15.267;-0.111047074198723
15.288;-0.24110235273838
15.309;-0.381161883473396
15.33;-0.506215035915375
15.351;-0.621263936161995
15.372;-0.746317088603973
15.393;-0.866368114948273
15.414;-0.991421267390251
15.435;-1.10146804153919
15.456;-1.22151906788349
15.477;-1.32656371593475
15.498;-1.42160411179066
15.519;-1.49163387715817
15.54;-1.55165939033031
15.561;-1.59667852520943
15.582;-1.63169340789318
15.603;-1.64169766008854
15.624;-1.6517019122839
15.645;-1.63669553399086
15.666;-1.61168490350246
15.687;-1.57166789472103
15.708;-1.51164238154888
15.729;-1.44161261618137
15.75;-1.36157859861851
15.771;-1.25153182446957
15.792;-1.1464871764183
15.813;-1.02643615007401
15.834;-0.916389375925064
15.855;-0.781331971287727
15.876;-0.666283071041107
15.897;-0.551234170794487
15.918;-0.431183144450188
15.939;-0.296125739812851
15.96;-0.166070461273193
15.981;-0.0210088044404984
16.002;0.099042221903801
16.023;0.254108130931854
16.044;0.379161283373833
16.065;0.499212309718132
16.086;0.604256957769394
16.107;0.714303731918335
16.128;0.809344127774239
16.149;0.899382397532463
16.17;0.97441428899765
16.191;1.02943767607212
16.212;1.07445681095123
16.233;1.09946744143963
16.254;1.10947169363499
16.275;1.09446531534195
16.296;1.06945468485355
16.317;1.02943767607212
16.338;0.969412162899971
16.359;0.899382397532463
16.38;0.804342001676559
16.401;0.704299479722977
16.422;0.604256957769394
16.443;0.489208057522774
16.464;0.369157031178474
16.485;0.244103878736496
16.506;0.10404434800148
16.527;-0.0260109305381775
16.548;-0.166070461273193
16.569;-0.291123613715172
16.59;-0.41617676615715
16.611;-0.546232044696808
16.632;-0.656278818845749
16.653;-0.771327719092369
16.674;-0.896380871534348
16.695;-1.00642764568329
16.716;-1.11647441983223
16.737;-1.22151906788349
16.758;-1.32156158983707
16.779;-1.40659773349762
16.8;-1.47662749886513
16.821;-1.5316508859396
16.842;-1.56666576862335
16.863;-1.59167639911175
16.884;-1.60668277740479
16.905;-1.60168065130711
16.926;-1.58167214691639
16.947;-1.55165939033031
16.968;-1.5066402554512
16.989;-1.45161686837673
17.01;-1.36658072471619
17.031;-1.28154458105564
17.052;-1.17649993300438
17.073;-1.07145528495312
17.094;-0.956406384706497
17.115;-0.846359610557556
17.136;-0.721306458115578
17.157;-0.616261810064316
17.178;-0.501212909817696
17.199;-0.376159757375717
17.22;-0.256108731031418
17.241;-0.121051326394081
17.262;0.00400182604789734
17.283;0.144061356782913
17.304;0.274116635322571
17.325;0.39416766166687
17.346;0.50921656191349
17.367;0.619263336062431
17.388;0.709301605820656
17.409;0.79933987557888
17.43;0.879373893141747
17.451;0.949403658509254
17.472;0.999424919486046
17.493;1.02943767607212
17.514;1.04444405436516
17.535;1.04944618046284
17.556;1.0344398021698
17.577;1.00442704558372
17.598;0.959407910704613
17.619;0.894380271434784
17.64;0.819348379969597
17.661;0.734312236309052
17.682;0.634269714355469
17.703;0.529225066304207
17.724;0.419178292155266
17.745;0.304129391908646
17.766;0.174074113368988
17.787;0.0390167087316513
17.808;-0.0860364437103271
17.829;-0.221093848347664
17.85;-0.346147000789642
17.871;-0.466198027133942
17.892;-0.576244801282883
17.913;-0.691293701529503
17.934;-0.801340475678444
17.955;-0.911387249827385
17.976;-1.02643615007401
17.997;-1.12647867202759
18.018;-1.22652119398117
18.039;-1.31155733764172
18.06;-1.39159135520458
18.081;-1.45661899447441
18.102;-1.50163812935352
18.123;-1.5316508859396
18.144;-1.55666151642799
18.165;-1.56166364252567
18.186;-1.55165939033031
18.207;-1.52664875984192
18.228;-1.49163387715817
18.249;-1.44661474227905
18.27;-1.38158710300922
18.291;-1.30155308544636
18.312;-1.20651268959045
18.333;-1.11147229373455
18.354;-1.00142551958561
18.375;-0.901382997632027
18.396;-0.781331971287727
18.417;-0.671285197138786
18.438;-0.566240549087524
18.459;-0.446189522743225
18.48;-0.331140622496605
18.501;-0.211089596152306
18.522;-0.081034317612648
18.543;0.0440188348293304
18.564;0.174074113368988
18.585;0.299127265810966
18.606;0.409174039959908
18.627;0.519220814108849
18.648;0.62426546216011
18.669;0.704299479722977
18.69;0.789335623383522
18.711;0.85936538875103
18.732;0.91939090192318
18.753;0.959407910704613
18.774;0.984418541193008
18.795;0.999424919486046
18.816;0.994422793388367
18.837;0.97441428899765
18.858;0.944401532411575
18.879;0.884376019239426
18.9;0.824350506067276
18.921;0.749318614602089
18.942;0.664282470941544
18.963;0.564239948987961
18.984;0.459195300936699
19.005;0.359152778983116
19.026;0.239101752638817
19.047;0.109046474099159
19.068;-0.0110045522451401
19.089;-0.141059830784798
19.11;-0.266112983226776
19.131;-0.391166135668755
19.152;-0.496210783720016
19.173;-0.611259683966637
19.194;-0.711302205920219
19.215;-0.82134898006916
19.236;-0.936397880315781
19.257;-1.04144252836704
19.278;-1.13648292422295
19.299;-1.22652119398117
19.32;-1.31155733764172
19.341;-1.3865892291069
19.362;-1.44161261618137
19.383;-1.48162962496281
19.404;-1.50163812935352
19.425;-1.52164663374424
19.446;-1.52164663374424
19.467;-1.51164238154888
19.488;-1.48162962496281
19.509;-1.44161261618137
19.53;-1.3865892291069
19.551;-1.3165594637394
19.572;-1.23652544617653
19.593;-1.1464871764183
19.614;-1.04644465446472
19.635;-0.946402132511139
19.656;-0.841357484459877
19.677;-0.726308584213257
19.698;-0.626266062259674
19.719;-0.516219288110733
19.74;-0.411174640059471
19.761;-0.286121487617493
19.782;-0.171072587370873
19.803;-0.0410173088312149
19.824;0.0740315914154053
19.845;0.204086869955063
19.866;0.324137896299362
19.887;0.429182544350624
19.908;0.534227192401886
19.929;0.619263336062431
19.95;0.699297353625298
